epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.36229,0.677,0.61429,1,0.53532,0.00010002,0.00010002,0.00010002
2,2.76688,0.50926,0.84286,1,0.53021,0.000208128,0.000208128,0.000208128
3,4.17001,0.40275,0.88571,1,0.25841,0.000306995,0.000306995,0.000306995
4,5.59974,0.19995,0.94286,1,0.15381,0.000396619,0.000396619,0.000396619
5,7.03946,0.15816,0.92857,1,0.07126,0.000477002,0.000477002,0.000477002
6,8.51149,0.10673,0.94286,1,0.11934,0.000548143,0.000548143,0.000548143
7,9.9498,0.14509,0.88571,1,0.17407,0.000610042,0.000610042,0.000610042
8,11.5073,0.11186,0.95714,1,0.28093,0.000662699,0.000662699,0.000662699
9,12.9628,0.13882,0.91429,1,0.16289,0.000706115,0.000706115,0.000706115
10,14.4237,0.05162,0.88571,1,0.23728,0.000740288,0.000740288,0.000740288
11,15.9021,0.14763,0.91429,1,0.17469,0.00076522,0.00076522,0.00076522
12,17.4298,0.18131,0.9,1,0.24483,0.000780909,0.000780909,0.000780909
13,18.9543,0.12861,0.91429,1,0.34261,0.000787357,0.000787357,0.000787357
14,20.4309,0.09607,0.9,1,0.15899,0.000784564,0.000784564,0.000784564
15,21.9164,0.03851,0.9,1,0.48376,0.000742815,0.000742815,0.000742815
16,23.4095,0.0848,0.88571,1,0.20904,0.000676802,0.000676802,0.000676802
17,24.9718,0.15312,0.88571,1,0.3269,0.000610789,0.000610789,0.000610789
18,26.5618,0.09396,0.9,1,0.23228,0.000544776,0.000544776,0.000544776
19,28.1276,0.08032,0.88571,1,0.17059,0.000478762,0.000478762,0.000478762
20,29.7192,0.06747,0.9,1,0.19133,0.000412749,0.000412749,0.000412749
21,31.2371,0.08223,0.88571,1,0.17148,0.000346736,0.000346736,0.000346736
22,32.7401,0.1401,0.91429,1,0.22745,0.000280723,0.000280723,0.000280723
23,34.2403,0.09888,0.91429,1,0.13272,0.00021471,0.00021471,0.00021471
24,35.8172,0.12256,0.92857,1,0.56019,0.000148696,0.000148696,0.000148696
25,37.3752,0.07744,0.92857,1,0.20579,8.26832e-05,8.26832e-05,8.26832e-05
