epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.55633,0.677,0.61429,1,0.53532,0.00010002,0.00010002,0.00010002
2,3.41688,0.50684,0.84286,1,0.52602,0.000214565,0.000214565,0.000214565
3,5.22899,0.401,0.88571,1,0.24862,0.000326799,0.000326799,0.000326799
4,6.9273,0.19315,0.94286,1,0.14734,0.000436722,0.000436722,0.000436722
5,8.36341,0.15474,0.92857,1,0.07002,0.000544336,0.000544336,0.000544336
6,10.2302,0.10363,0.94286,1,0.13175,0.000649638,0.000649638,0.000649638
7,12.3878,0.16116,0.85714,1,0.23611,0.00075263,0.00075263,0.00075263
8,14.4294,0.11904,0.95714,1,0.27575,0.000853312,0.000853312,0.000853312
9,16.4569,0.13266,0.91429,1,0.20096,0.000951684,0.000951684,0.000951684
10,18.5429,0.08974,0.87143,1,0.31724,0.00104774,0.00104774,0.00104774
11,20.6019,0.18403,0.88571,1,0.24991,0.00114149,0.00114149,0.00114149
12,22.6401,0.28777,0.85714,1,0.60866,0.00123293,0.00123293,0.00123293
13,24.6815,0.20491,0.85714,1,0.5101,0.00132206,0.00132206,0.00132206
14,26.6984,0.14868,0.87143,1,0.49825,0.00140888,0.00140888,0.00140888
15,28.7728,0.13949,0.87143,1,0.79875,0.00143595,0.00143595,0.00143595
16,30.7508,0.25065,0.91429,1,0.38806,0.00141945,0.00141945,0.00141945
17,32.8301,0.20866,0.88571,1,0.34369,0.00140295,0.00140295,0.00140295
18,34.9344,0.27407,0.85714,1,0.51293,0.00138644,0.00138644,0.00138644
19,36.922,0.14785,0.88571,1,0.33099,0.00136994,0.00136994,0.00136994
20,39.0053,0.30906,0.91429,1,0.32946,0.00135344,0.00135344,0.00135344
21,41.0278,0.41576,0.87143,1,0.25694,0.00133693,0.00133693,0.00133693
22,43.0202,0.26007,0.87143,1,0.33291,0.00132043,0.00132043,0.00132043
23,45.1014,0.18773,0.94286,1,0.15738,0.00130393,0.00130393,0.00130393
24,47.0955,0.13817,0.88571,1,0.48801,0.00128742,0.00128742,0.00128742
25,49.1949,0.1509,0.84286,1,1.13804,0.00127092,0.00127092,0.00127092
26,51.2661,0.23205,0.8,1,1.28364,0.00125442,0.00125442,0.00125442
27,53.3387,0.20671,0.84286,1,0.46265,0.00123791,0.00123791,0.00123791
28,55.3767,0.17166,0.84286,1,0.27422,0.00122141,0.00122141,0.00122141
29,57.4304,0.18267,0.84286,1,1.23084,0.00120491,0.00120491,0.00120491
30,59.4711,0.21011,0.85714,1,0.44223,0.0011884,0.0011884,0.0011884
31,61.5417,0.40844,0.87143,1,0.23063,0.0011719,0.0011719,0.0011719
32,63.6212,0.21104,0.9,1,0.15371,0.0011554,0.0011554,0.0011554
33,65.678,0.15207,0.87143,1,0.33304,0.00113889,0.00113889,0.00113889
34,67.7218,0.40022,0.88571,1,0.55727,0.00112239,0.00112239,0.00112239
35,69.7777,0.10306,0.85714,1,0.2451,0.00110589,0.00110589,0.00110589
36,71.8377,0.51548,0.82857,1,0.63057,0.00108938,0.00108938,0.00108938
37,73.8307,0.19075,0.85714,1,0.49932,0.00107288,0.00107288,0.00107288
38,75.9252,0.1058,0.91429,1,0.17926,0.00105638,0.00105638,0.00105638
39,77.9347,0.17338,0.9,1,0.20244,0.00103987,0.00103987,0.00103987
40,79.9685,0.14073,0.9,1,0.22207,0.00102337,0.00102337,0.00102337
41,82.0856,0.1333,0.91429,1,0.22944,0.00100687,0.00100687,0.00100687
42,84.1351,0.15767,0.9,1,0.16277,0.000990365,0.000990365,0.000990365
43,86.2204,0.12945,0.9,1,0.22148,0.000973861,0.000973861,0.000973861
44,88.3558,0.1472,0.92857,1,0.21715,0.000957358,0.000957358,0.000957358
45,90.3869,0.20344,0.94286,1,0.14393,0.000940855,0.000940855,0.000940855
46,92.4642,0.1472,0.91429,1,0.1243,0.000924352,0.000924352,0.000924352
47,94.5075,0.22383,0.91429,1,0.44346,0.000907848,0.000907848,0.000907848
48,96.6144,0.15961,0.9,1,0.20001,0.000891345,0.000891345,0.000891345
49,98.7411,0.1016,0.88571,1,0.20972,0.000874842,0.000874842,0.000874842
50,100.766,0.10185,0.91429,1,0.15432,0.000858338,0.000858338,0.000858338
51,102.814,0.0699,0.91429,1,0.18373,0.000841835,0.000841835,0.000841835
52,104.848,0.1363,0.91429,1,0.12929,0.000825332,0.000825332,0.000825332
53,106.844,0.0602,0.9,1,0.17258,0.000808828,0.000808828,0.000808828
54,108.875,0.11736,0.9,1,0.12832,0.000792325,0.000792325,0.000792325
55,110.968,0.06674,0.88571,1,0.16814,0.000775822,0.000775822,0.000775822
56,113.109,0.10044,0.9,1,0.29084,0.000759318,0.000759318,0.000759318
57,115.141,0.05062,0.88571,1,0.41661,0.000742815,0.000742815,0.000742815
58,117.182,0.08496,0.87143,1,0.22757,0.000726312,0.000726312,0.000726312
59,119.219,0.1059,0.85714,1,0.32505,0.000709809,0.000709809,0.000709809
60,121.289,0.09243,0.87143,1,0.22346,0.000693305,0.000693305,0.000693305
61,123.348,0.07463,0.88571,1,0.19761,0.000676802,0.000676802,0.000676802
62,125.439,0.09883,0.87143,1,0.34412,0.000660299,0.000660299,0.000660299
63,127.477,0.10149,0.87143,1,0.18702,0.000643795,0.000643795,0.000643795
64,129.563,0.12673,0.88571,1,0.52606,0.000627292,0.000627292,0.000627292
65,131.632,0.06062,0.88571,1,0.5171,0.000610789,0.000610789,0.000610789
66,133.724,0.38965,0.9,1,0.85773,0.000594286,0.000594286,0.000594286
67,135.816,0.11904,0.88571,1,0.27517,0.000577782,0.000577782,0.000577782
68,137.937,0.04357,0.87143,1,0.24208,0.000561279,0.000561279,0.000561279
69,140.031,0.05083,0.88571,1,0.31682,0.000544776,0.000544776,0.000544776
70,142.211,0.07226,0.9,1,0.19226,0.000528272,0.000528272,0.000528272
71,144.232,0.05946,0.9,1,0.18444,0.000511769,0.000511769,0.000511769
72,146.33,0.08599,0.9,1,0.19429,0.000495266,0.000495266,0.000495266
73,148.381,0.06564,0.88571,1,0.76266,0.000478762,0.000478762,0.000478762
74,150.518,0.075,0.88571,1,0.62569,0.000462259,0.000462259,0.000462259
75,152.543,0.05907,0.88571,1,0.7585,0.000445756,0.000445756,0.000445756
76,154.563,0.03351,0.85714,1,0.25407,0.000429253,0.000429253,0.000429253
77,156.603,0.06046,0.85714,1,1.13492,0.000412749,0.000412749,0.000412749
78,158.649,0.04554,0.87143,1,0.23132,0.000396246,0.000396246,0.000396246
79,160.747,0.02206,0.88571,1,0.44318,0.000379743,0.000379743,0.000379743
80,162.807,0.03004,0.88571,1,0.25268,0.000363239,0.000363239,0.000363239
81,164.807,0.01681,0.88571,1,0.91904,0.000346736,0.000346736,0.000346736
82,166.881,0.06932,0.88571,1,0.35232,0.000330233,0.000330233,0.000330233
83,168.941,0.03692,0.88571,1,0.33049,0.000313729,0.000313729,0.000313729
84,170.95,0.05876,0.88571,1,1.037,0.000297226,0.000297226,0.000297226
85,173.047,0.06305,0.91429,1,0.42237,0.000280723,0.000280723,0.000280723
86,175.097,0.05078,0.91429,1,0.30948,0.00026422,0.00026422,0.00026422
87,177.447,0.04115,0.91429,1,0.23243,0.000247716,0.000247716,0.000247716
88,179.759,0.04072,0.9,1,0.19615,0.000231213,0.000231213,0.000231213
89,182.027,0.02405,0.9,1,0.20907,0.00021471,0.00021471,0.00021471
90,184.313,0.07532,0.91429,1,0.18558,0.000198206,0.000198206,0.000198206
91,186.573,0.02559,0.9,1,0.18565,0.000181703,0.000181703,0.000181703
92,188.822,0.01453,0.9,1,0.44779,0.0001652,0.0001652,0.0001652
93,191.07,0.03616,0.91429,1,0.17228,0.000148696,0.000148696,0.000148696
94,193.416,0.02214,0.91429,1,0.38327,0.000132193,0.000132193,0.000132193
95,195.72,0.01751,0.91429,1,0.18093,0.00011569,0.00011569,0.00011569
96,198.005,0.04445,0.91429,1,0.33899,9.91865e-05,9.91865e-05,9.91865e-05
97,200.218,0.03284,0.91429,1,0.25449,8.26832e-05,8.26832e-05,8.26832e-05
98,202.585,0.03079,0.91429,1,0.26344,6.61799e-05,6.61799e-05,6.61799e-05
99,204.869,0.05206,0.91429,1,0.30779,4.96766e-05,4.96766e-05,4.96766e-05
100,207.068,0.05034,0.91429,1,0.17048,3.31733e-05,3.31733e-05,3.31733e-05
